address,time_unix,time,dne,srl,srrn,eda
RP01006,1710921905.652000,2024-03-20 08:05:05.652+00,\N,\N,\N,754348
RP01006,1710921905.985000,2024-03-20 08:05:05.985+00,\N,\N,\N,755291
RP01006,1710921906.318000,2024-03-20 08:05:06.318+00,\N,\N,\N,756802
RP01006,1710921906.651000,2024-03-20 08:05:06.651+00,\N,\N,\N,758315
RP01006,1710921906.984000,2024-03-20 08:05:06.984+00,\N,\N,\N,760211
RP01006,1710921907.317000,2024-03-20 08:05:07.317+00,\N,\N,\N,761161
RP01006,1710921907.650000,2024-03-20 08:05:07.65+00,\N,\N,\N,762491
RP01006,1710921907.983000,2024-03-20 08:05:07.983+00,\N,\N,\N,764587
RP01006,1710921908.316000,2024-03-20 08:05:08.316+00,\N,\N,\N,765541
RP01006,1710921908.649000,2024-03-20 08:05:08.649+00,\N,\N,\N,766878
RP01006,1710921908.982000,2024-03-20 08:05:08.982+00,\N,\N,\N,767452
RP01006,1710921909.315000,2024-03-20 08:05:09.315+00,\N,\N,\N,768027
RP01006,1710921909.648000,2024-03-20 08:05:09.648+00,\N,\N,\N,768984
RP01006,1710921909.981000,2024-03-20 08:05:09.981+00,\N,\N,\N,770519
RP01006,1710921910.314000,2024-03-20 08:05:10.314+00,\N,\N,\N,772441
RP01006,1710921910.647000,2024-03-20 08:05:10.647+00,\N,\N,\N,774175
RP01006,1710921910.980000,2024-03-20 08:05:10.98+00,\N,\N,\N,775525
RP01006,1710921911.313000,2024-03-20 08:05:11.313+00,\N,\N,\N,777071
RP01006,1710921911.646000,2024-03-20 08:05:11.646+00,\N,\N,\N,777845
RP01006,1710921911.979000,2024-03-20 08:05:11.979+00,\N,\N,\N,778814
RP01006,1710921912.312000,2024-03-20 08:05:12.312+00,\N,\N,\N,779977
RP01006,1710921912.645000,2024-03-20 08:05:12.645+00,\N,\N,\N,780754
RP01006,1710921912.978000,2024-03-20 08:05:12.978+00,\N,\N,\N,781726
RP01006,1710921913.311000,2024-03-20 08:05:13.311+00,\N,\N,\N,783088
RP01006,1710921913.644000,2024-03-20 08:05:13.644+00,\N,\N,\N,784257
RP01006,1710921913.977000,2024-03-20 08:05:13.977+00,\N,\N,\N,785232
RP01006,1710921914.310000,2024-03-20 08:05:14.31+00,\N,\N,\N,786404
RP01006,1710921914.643000,2024-03-20 08:05:14.643+00,\N,\N,\N,787186
RP01006,1710921914.976000,2024-03-20 08:05:14.976+00,\N,\N,\N,788753
RP01006,1710921915.309000,2024-03-20 08:05:15.309+00,\N,\N,\N,790518
RP01006,1710921915.642000,2024-03-20 08:05:15.642+00,\N,\N,\N,792287
RP01006,1710921915.975000,2024-03-20 08:05:15.975+00,\N,\N,\N,793665
RP01006,1710921916.308000,2024-03-20 08:05:16.308+00,\N,\N,\N,794651
RP01006,1710921916.641000,2024-03-20 08:05:16.641+00,\N,\N,\N,796033
RP01006,1710921916.974000,2024-03-20 08:05:16.974+00,\N,\N,\N,796231
RP01006,1710921917.307000,2024-03-20 08:05:17.307+00,\N,\N,\N,795441
RP01006,1710921917.640000,2024-03-20 08:05:17.64+00,\N,\N,\N,795638
RP01006,1710921917.973000,2024-03-20 08:05:17.973+00,\N,\N,\N,797021
RP01006,1710921918.306000,2024-03-20 08:05:18.306+00,\N,\N,\N,798011
RP01006,1710921918.639000,2024-03-20 08:05:18.639+00,\N,\N,\N,799398
RP01006,1710921918.972000,2024-03-20 08:05:18.972+00,\N,\N,\N,799993
RP01006,1710921919.305000,2024-03-20 08:05:19.305+00,\N,\N,\N,801781
RP01006,1710921919.638000,2024-03-20 08:05:19.638+00,\N,\N,\N,803771
RP01006,1710921919.971000,2024-03-20 08:05:19.971+00,\N,\N,\N,804569
RP01006,1710921920.304000,2024-03-20 08:05:20.304+00,\N,\N,\N,806166
RP01006,1710921920.637000,2024-03-20 08:05:20.637+00,\N,\N,\N,807966
RP01006,1710921920.970000,2024-03-20 08:05:20.97+00,\N,\N,\N,808967
RP01006,1710921921.303000,2024-03-20 08:05:21.303+00,\N,\N,\N,810371
RP01006,1710921921.636000,2024-03-20 08:05:21.636+00,\N,\N,\N,811978
RP01006,1710921921.969000,2024-03-20 08:05:21.969+00,\N,\N,\N,812984
RP01006,1710921922.302000,2024-03-20 08:05:22.302+00,\N,\N,\N,814395
RP01006,1710921922.635000,2024-03-20 08:05:22.635+00,\N,\N,\N,815807
RP01006,1710921922.968000,2024-03-20 08:05:22.968+00,\N,\N,\N,815807
RP01006,1710921923.301000,2024-03-20 08:05:23.301+00,\N,\N,\N,816413
RP01006,1710921923.634000,2024-03-20 08:05:23.634+00,\N,\N,\N,818234
RP01006,1710921923.967000,2024-03-20 08:05:23.967+00,\N,\N,\N,819246
RP01006,1710921924.300000,2024-03-20 08:05:24.3+00,\N,\N,\N,820666
RP01006,1710921924.633000,2024-03-20 08:05:24.633+00,\N,\N,\N,822089
RP01006,1710921924.966000,2024-03-20 08:05:24.966+00,\N,\N,\N,821682
RP01006,1710921925.299000,2024-03-20 08:05:25.299+00,\N,\N,\N,820869
RP01006,1710921925.632000,2024-03-20 08:05:25.632+00,\N,\N,\N,821479
RP01006,1710921925.965000,2024-03-20 08:05:25.965+00,\N,\N,\N,822089
RP01006,1710921926.298000,2024-03-20 08:05:26.298+00,\N,\N,\N,823309
RP01006,1710921926.631000,2024-03-20 08:05:26.631+00,\N,\N,\N,825144
